5
id,age,math,sc,malay
0,1,1,1,1
100
10996,19,58,39,65
11989,22,81,48,100
10030,22,11,62,70
11871,20,42,27,12
11257,18,23,100,39
10102,25,30,60,56
10435,19,21,53,55
10413,21,68,23,64
10030,22,11,62,70
11871,20,42,27,12
11257,18,23,100,39
10102,25,30,60,56
10435,19,21,53,55
10996,19,58,39,65
11989,22,81,48,100
10292,19,58,39,65
10030,22,11,62,70
10996,19,58,39,65
11989,22,81,48,100
10102,25,30,60,56
10435,19,21,53,55
10413,21,68,23,64
11480,18,39,23,33
10996,19,58,39,65
11989,22,81,48,100
11989,22,81,48,100
10030,22,11,62,70
10355,21,37,29,18
11433,25,72,63,61
10037,23,58,94,41
11952,23,94,58,27
10435,19,21,53,55
10413,21,68,23,64
11480,18,39,23,33
10292,19,58,39,65
10996,19,58,39,65
11989,22,81,48,100
10030,22,11,62,70
11234,22,17,14,59
11379,18,93,53,94
10372,19,77,50,15
10030,22,11,62,70
11871,20,42,27,12
11257,18,23,100,39
10102,25,30,60,56
10435,19,21,53,55
10413,21,68,23,64
11480,18,39,23,33
10102,25,30,60,56
10435,19,21,53,55
10413,21,68,23,64
10435,19,21,53,55
10413,21,68,23,64
11480,18,39,23,33
10292,19,58,39,65
10996,19,58,39,65
11989,22,81,48,100
10030,22,11,62,70
11480,18,39,23,33
10030,22,11,62,70
10435,19,21,53,55
10413,21,68,23,64
11480,18,39,23,33
10292,19,58,39,65
10996,19,58,39,65
11989,22,81,48,100
10030,22,11,62,700
11871,20,42,27,12
11257,18,23,100,39
10102,25,30,60,56
10435,19,21,53,55
11480,18,39,23,33
11952,23,94,58,27
10435,19,21,53,55
10413,21,68,23,64
11480,18,39,23,33
10292,19,58,39,65
10996,19,58,39,65
11989,22,81,48,100
10030,22,11,62,70
10030,22,11,62,70
11674,22,32,48,80
10409,22,11,89,51
10246,22,44,92,79
11871,20,42,27,12
11257,18,23,100,39
10102,25,30,60,56
10435,19,21,53,55
10413,21,68,23,64
11480,18,39,23,33
10292,19,58,39,65
10996,19,58,39,65
11989,22,81,48,100
10030,22,11,62,70
11989,22,81,48,100
10030,22,11,62,70
10030,22,11,62,70
11674,22,32,48,80
10409,22,11,89,51
10030,22,11,62,70
